"Hugo_Symbol","LUAD","COAD","pval","or","ci.up","ci.low","adjPval"
"LTB4R",5,2,0.705337593657797,1.8525157250936,19.5361909145989,0.301632125412116,0.836633117308484
"MMD",5,2,0.705337593657797,1.8525157250936,19.5361909145989,0.301632125412116,0.836633117308484
"MPHOSPH6",5,2,0.705337593657797,1.8525157250936,19.5361909145989,0.301632125412116,0.836633117308484
"MSMB",5,2,0.705337593657797,1.8525157250936,19.5361909145989,0.301632125412116,0.836633117308484
"MYL1",5,2,0.705337593657797,1.8525157250936,19.5361909145989,0.301632125412116,0.836633117308484
"MYL10",5,2,0.705337593657797,1.8525157250936,19.5361909145989,0.301632125412116,0.836633117308484
"NCALD",5,2,0.705337593657797,1.8525157250936,19.5361909145989,0.301632125412116,0.836633117308484
"NIPSNAP2",5,2,0.705337593657797,1.8525157250936,19.5361909145989,0.301632125412116,0.836633117308484
"NUBPL",5,2,0.705337593657797,1.8525157250936,19.5361909145989,0.301632125412116,0.836633117308484
"NUP35",5,2,0.705337593657797,1.8525157250936,19.5361909145989,0.301632125412116,0.836633117308484
"OPN1LW",5,2,0.705337593657797,1.8525157250936,19.5361909145989,0.301632125412116,0.836633117308484
"OR2AE1",5,2,0.705337593657797,1.8525157250936,19.5361909145989,0.301632125412116,0.836633117308484
"ORM1",5,2,0.705337593657797,1.8525157250936,19.5361909145989,0.301632125412116,0.836633117308484
"OSR1",5,2,0.705337593657797,1.8525157250936,19.5361909145989,0.301632125412116,0.836633117308484
"PDCD1LG2",5,2,0.705337593657797,1.8525157250936,19.5361909145989,0.301632125412116,0.836633117308484
"PLAAT5",5,2,0.705337593657797,1.8525157250936,19.5361909145989,0.301632125412116,0.836633117308484
"POMZP3",5,2,0.705337593657797,1.8525157250936,19.5361909145989,0.301632125412116,0.836633117308484
"PRSS22",5,2,0.705337593657797,1.8525157250936,19.5361909145989,0.301632125412116,0.836633117308484
"PSMA1",5,2,0.705337593657797,1.8525157250936,19.5361909145989,0.301632125412116,0.836633117308484
"PYDC1",5,2,0.705337593657797,1.8525157250936,19.5361909145989,0.301632125412116,0.836633117308484
"RASD2",5,2,0.705337593657797,1.8525157250936,19.5361909145989,0.301632125412116,0.836633117308484
"RFPL2",5,2,0.705337593657797,1.8525157250936,19.5361909145989,0.301632125412116,0.836633117308484
"RPS3",5,2,0.705337593657797,1.8525157250936,19.5361909145989,0.301632125412116,0.836633117308484
